Dataset	BA	F1	MCC
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
100%	0.7766884531590414	0.966707768187423	0.5114527080674861
