Dataset	BA	F1	MCC
I vs II	0.7322814007129377	0.9505549949545914	0.4063016361487053
I vs II	0.6826378695743343	0.9498997995991985	0.3415051903179647
I vs II	0.6880373243866639	0.9292307692307691	0.2917761192876473
I vs II	0.6723183208522308	0.9518072289156626	0.33658544419567404
I vs II	0.6644998951562172	0.9436619718309859	0.2956896396127031
I vs II	0.6674879429649823	0.9468405215646942	0.3099904716751854
I vs II	0.703187250996016	0.9323770491803279	0.3173284194201833
I vs II	0.6806458377018243	0.9477911646586344	0.3310238013131666
I vs II	0.6877560668137409	0.9422492401215805	0.32283347907263765
I vs II	0.7027678758649613	0.9581673306772909	0.4055357517299224
