"ID","SimilarityMetric","Label1","evaluationMode","Label2","FingerprintRadius","Label3","similarityThreshold","Label4","BA","sdBA","Label5","F1","sdF1","Label6","MCC","sdMCC","Label7","nFound","sdnFound","Label8","nNotFound","sdnNotFound"
"131","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.55,"ba:",0.63819,0.00593,"f1:",0.79994,0.01188,"mcc",0.40938,0.016,"found:",993,3.73,"notFound",18,3.23
"142","DiceSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.35,"ba:",0.65042,0.00656,"f1:",0.81637,0.0136,"mcc",0.44265,0.01664,"found:",989,4.56,"notFound",23,4.47
"246","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.65,"ba:",0.65574,0.01087,"f1:",0.85266,0.0139,"mcc",0.44301,0.02497,"found:",942,6.51,"notFound",69,5.98
"78","TanimotoSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.65239,0.00543,"f1:",0.82655,0.00932,"mcc",0.44521,0.01506,"found:",984,5.03,"notFound",27,5.12
"221","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.66239,0.00839,"f1:",0.85669,0.01093,"mcc",0.45845,0.01818,"found:",1007,1.78,"notFound",5,1.7
"133","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.45,"ba:",0.66421,0.00866,"f1:",0.84461,0.01341,"mcc",0.47274,0.02107,"found:",976,4.8,"notFound",36,4.65
"123","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.6,"ba:",0.67173,0.00755,"f1:",0.85446,0.00976,"mcc",0.48836,0.0193,"found:",960,8.78,"notFound",51,8.82
"82","TanimotoSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.67412,0.0107,"f1:",0.85873,0.01294,"mcc",0.49305,0.02647,"found:",963,6.7,"notFound",48,6.42
"224","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.67865,0.00982,"f1:",0.87387,0.01315,"mcc",0.49391,0.01934,"found:",1006,1.68,"notFound",6,1.26
"244","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.7,"ba:",0.68384,0.01137,"f1:",0.88618,0.01033,"mcc",0.50055,0.01996,"found:",874,9.04,"notFound",137,9.05
"66","TanimotoSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.68664,0.01115,"f1:",0.87027,0.01312,"mcc",0.51661,0.02488,"found:",928,10.77,"notFound",83,10.37
"227","TverskySimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.3,"ba:",0.69131,0.00896,"f1:",0.88673,0.0109,"mcc",0.51935,0.01739,"found:",1005,2.01,"notFound",6,1.4
"242","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.75,"ba:",0.70277,0.02219,"f1:",0.9116,0.0151,"mcc",0.53141,0.04003,"found:",752,9.49,"notFound",260,9.97
"213","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.71019,0.01109,"f1:",0.9077,0.00847,"mcc",0.54095,0.01938,"found:",1004,2.69,"notFound",8,2.05
"134","DiceSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.4,"ba:",0.70809,0.01264,"f1:",0.89595,0.01175,"mcc",0.55742,0.02492,"found:",935,9.31,"notFound",76,8.91
"216","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.4,"ba:",0.7169,0.01359,"f1:",0.9088,0.01101,"mcc",0.5618,0.0241,"found:",1000,3.62,"notFound",11,3.58
"111","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.65,"ba:",0.7224,0.01288,"f1:",0.90492,0.01169,"mcc",0.57855,0.02488,"found:",871,7.91,"notFound",140,7.26
"218","TverskySimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.35,"ba:",0.72564,0.01479,"f1:",0.91333,0.01136,"mcc",0.58191,0.02687,"found:",995,4.71,"notFound",16,4.63
"127","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.5,"ba:",0.72314,0.01758,"f1:",0.90615,0.01287,"mcc",0.58459,0.03403,"found:",908,8.39,"notFound",103,7.75
"204","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.55,"ba:",0.7416,0.01449,"f1:",0.92716,0.0086,"mcc",0.58649,0.02143,"found:",999,3.69,"notFound",13,3.49
"239","calc_ergfp","evaluationMode:","probability","FPRadius",0,"similarityThreshold:",0.8,"ba:",0.73716,0.02207,"f1:",0.9393,0.00921,"mcc",0.59293,0.03448,"found:",566,10.34,"notFound",445,10.75
"257","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.35,"ba:",0.80145,0.02069,"f1:",0.95112,0.00487,"mcc",0.59478,0.03826,"found:",1008,1.5,"notFound",3,0.83
"259","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.3,"ba:",0.80228,0.0208,"f1:",0.95097,0.00481,"mcc",0.59583,0.03813,"found:",1009,1.36,"notFound",2,1
"255","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.4,"ba:",0.80193,0.02075,"f1:",0.95134,0.00487,"mcc",0.59631,0.03811,"found:",1007,1.64,"notFound",5,1.33
"253","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.45,"ba:",0.80192,0.02087,"f1:",0.95128,0.00503,"mcc",0.59654,0.03884,"found:",1005,2.95,"notFound",7,2.6
"251","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.5,"ba:",0.80186,0.02119,"f1:",0.95113,0.0051,"mcc",0.59683,0.0396,"found:",997,3.82,"notFound",14,3.38
"249","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.55,"ba:",0.80279,0.02012,"f1:",0.95154,0.00482,"mcc",0.60037,0.03768,"found:",989,4.3,"notFound",22,3.41
"247","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.6,"ba:",0.80575,0.01994,"f1:",0.9526,0.00476,"mcc",0.60839,0.03756,"found:",975,4.23,"notFound",36,3.47
"207","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.45,"ba:",0.74471,0.01733,"f1:",0.92552,0.01103,"mcc",0.61126,0.03099,"found:",986,5.33,"notFound",26,5.14
"56","TanimotoSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.74653,0.0116,"f1:",0.91998,0.00861,"mcc",0.6218,0.02181,"found:",833,7.52,"notFound",178,7.06
"245","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.65,"ba:",0.81229,0.0186,"f1:",0.95404,0.00489,"mcc",0.62197,0.03832,"found:",942,6.51,"notFound",69,5.98
"68","TanimotoSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.75307,0.01574,"f1:",0.92503,0.01092,"mcc",0.63223,0.02395,"found:",862,6.84,"notFound",149,6.27
"194","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.6,"ba:",0.77316,0.01814,"f1:",0.94072,0.00788,"mcc",0.6344,0.02745,"found:",981,6.2,"notFound",30,5.96
"212","TverskySimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.4,"ba:",0.76086,0.01668,"f1:",0.93268,0.00909,"mcc",0.63897,0.02452,"found:",962,6.8,"notFound",50,6.69
"243","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.7,"ba:",0.82262,0.02021,"f1:",0.95681,0.00523,"mcc",0.64301,0.04091,"found:",874,9.04,"notFound",137,9.05
"200","TverskySimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.5,"ba:",0.77233,0.01734,"f1:",0.93781,0.00891,"mcc",0.6541,0.02643,"found:",947,7.1,"notFound",65,6.94
"184","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.65,"ba:",0.78631,0.01902,"f1:",0.94371,0.00831,"mcc",0.66127,0.02931,"found:",938,10.84,"notFound",73,10.74
"241","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.75,"ba:",0.83281,0.0221,"f1:",0.96225,0.00508,"mcc",0.66692,0.03812,"found:",752,9.49,"notFound",260,9.97
"211","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.88584,0.0177,"f1:",0.96489,0.00242,"mcc",0.69155,0.0242,"found:",1004,2.69,"notFound",8,2.05
"226","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.88645,0.01791,"f1:",0.96511,0.00251,"mcc",0.69215,0.02558,"found:",1008,1.5,"notFound",3,1
"238","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.8865,0.01787,"f1:",0.96516,0.00245,"mcc",0.69222,0.02468,"found:",1010,1.73,"notFound",2,1.1
"231","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.88615,0.01743,"f1:",0.96516,0.00249,"mcc",0.69229,0.02536,"found:",1009,1.58,"notFound",2,1.02
"220","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.88655,0.01792,"f1:",0.96511,0.00257,"mcc",0.69265,0.02623,"found:",1007,1.78,"notFound",5,1.7
