Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.5% 	 0.89399 	 0.011 	 0.94891 	 0.00566 	 0.78875 	 0.02117 	 0.6 
Tanimoto_top_2_0.5% 	 0.89382 	 0.00906 	 0.94938 	 0.00411 	 0.79167 	 0.01309 	 0.45 
Tanimoto_top_3_0.5% 	 0.90734 	 0.01214 	 0.95375 	 0.00471 	 0.80799 	 0.02088 	 0.4 
Dice_top_1_0.5% 	 0.89912 	 0.01623 	 0.95074 	 0.00586 	 0.79171 	 0.02556 	 0.75 
Dice_top_2_0.5% 	 0.90036 	 0.01221 	 0.95437 	 0.00442 	 0.81017 	 0.0179 	 0.65 
Dice_top_3_0.5% 	 0.88272 	 0.01459 	 0.94458 	 0.00744 	 0.76867 	 0.02418 	 0.55 
Tversky_top_1_0.5% 	 0.82522 	 0.01589 	 0.91942 	 0.00831 	 0.6532 	 0.03316 	 0.75 
Tversky_top_2_0.5% 	 0.86187 	 0.01391 	 0.93478 	 0.00643 	 0.73672 	 0.02249 	 0.65 
Tversky_top_3_0.5% 	 0.88789 	 0.01425 	 0.94527 	 0.00594 	 0.77992 	 0.01894 	 0.6 
