Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.9% 	 0.88149 	 0.01134 	 0.91599 	 0.00768 	 0.76606 	 0.01823 	 0.4 
Tanimoto_top_2_0.9% 	 0.89925 	 0.01346 	 0.92985 	 0.01013 	 0.80294 	 0.03019 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.88598 	 0.01291 	 0.9188 	 0.00938 	 0.77935 	 0.02443 	 0.6 
Dice_top_2_0.9% 	 0.89892 	 0.01921 	 0.92905 	 0.01348 	 0.80563 	 0.03959 	 0.45 
Dice_top_3_0.9% 	 0.89209 	 0.01141 	 0.92462 	 0.00757 	 0.7869 	 0.01812 	 0.35 
Tversky_top_1_0.9% 	 0.88337 	 0.02108 	 0.91627 	 0.01277 	 0.74556 	 0.03593 	 0.35 
Tversky_top_2_0.9% 	 0.88653 	 0.01651 	 0.91905 	 0.01179 	 0.76385 	 0.03578 	 0.45 
Tversky_top_3_0.9% 	 0.89765 	 0.0129 	 0.92327 	 0.00939 	 0.78163 	 0.02765 	 0.4 
