Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.9% 	 0.86325 	 0.01887 	 0.96589 	 0.00477 	 0.74347 	 0.03574 	 0.45 
Tanimoto_top_2_0.9% 	 0.88117 	 0.01923 	 0.97059 	 0.00426 	 0.76914 	 0.03076 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.85831 	 0.01889 	 0.96545 	 0.00482 	 0.73479 	 0.03683 	 0.6 
Dice_top_2_0.9% 	 0.87949 	 0.0182 	 0.97034 	 0.00405 	 0.76557 	 0.0295 	 0.45 
Dice_top_3_0.9% 	 0.89367 	 0.01979 	 0.97286 	 0.00397 	 0.78568 	 0.03118 	 0.4 
Tversky_top_1_0.9% 	 0.89325 	 0.01532 	 0.96544 	 0.00247 	 0.7088 	 0.02583 	 0.65 
Tversky_top_2_0.9% 	 0.91421 	 0.01184 	 0.97287 	 0.00289 	 0.77495 	 0.0251 	 0.5 
Tversky_top_3_0.9% 	 0.91558 	 0.01861 	 0.97292 	 0.00309 	 0.77365 	 0.02502 	 0.4 
