Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.8% 	 0.88087 	 0.01251 	 0.97017 	 0.00321 	 0.78317 	 0.02526 	 0.5 
Tanimoto_top_2_0.8% 	 0.89835 	 0.02037 	 0.97401 	 0.00414 	 0.80411 	 0.03009 	 0.35 
Tanimoto_top_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.8% 	 0.87162 	 0.01664 	 0.96808 	 0.00424 	 0.76551 	 0.03145 	 0.65 
Dice_top_2_0.8% 	 0.88999 	 0.01905 	 0.97236 	 0.00392 	 0.7882 	 0.02825 	 0.5 
Dice_top_3_0.8% 	 0.91684 	 0.02121 	 0.97812 	 0.00448 	 0.83582 	 0.03199 	 0.45 
Tversky_top_1_0.8% 	 0.90432 	 0.01177 	 0.96795 	 0.00269 	 0.74319 	 0.02897 	 0.7 
Tversky_top_2_0.8% 	 0.92463 	 0.00792 	 0.97566 	 0.00234 	 0.80627 	 0.02095 	 0.55 
Tversky_top_3_0.8% 	 0.92685 	 0.01553 	 0.97604 	 0.00302 	 0.80589 	 0.02518 	 0.45 
