Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.9% 	 0.8111 	 0.00718 	 0.91309 	 0.00289 	 0.6202 	 0.01042 	 0.45 
Tanimoto_top_2_0.9% 	 0.8074 	 0.01113 	 0.91273 	 0.00515 	 0.61541 	 0.02106 	 0.3 
Tanimoto_top_3_0.9% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.9% 	 0.80249 	 0.01316 	 0.91102 	 0.00625 	 0.6051 	 0.02976 	 0.6 
Dice_top_2_0.9% 	 0.83164 	 0.01252 	 0.92348 	 0.00526 	 0.66054 	 0.02401 	 0.5 
Dice_top_3_0.9% 	 0.82276 	 0.01369 	 0.92018 	 0.0051 	 0.64934 	 0.02334 	 0.4 
Tversky_top_1_0.9% 	 0.76118 	 0.01893 	 0.89104 	 0.00957 	 0.52336 	 0.02595 	 0.6 
Tversky_top_2_0.9% 	 0.77864 	 0.01737 	 0.89924 	 0.0085 	 0.56706 	 0.02923 	 0.5 
Tversky_top_3_0.9% 	 0.78178 	 0.01703 	 0.90032 	 0.00798 	 0.5662 	 0.02697 	 0.4 
