Combination	BA	sdBA	F1	sdF1	MCC	sdMCC	similarityThreshold
Tanimoto_top_1_0.8% 	 0.82373 	 0.008 	 0.91999 	 0.00386 	 0.65607 	 0.01869 	 0.5 
Tanimoto_top_2_0.8% 	 0.82883 	 0.00948 	 0.9224 	 0.00451 	 0.66265 	 0.01664 	 0.35 
Tanimoto_top_3_0.8% 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 	 NA 
Dice_top_1_0.8% 	 0.83106 	 0.01159 	 0.92159 	 0.00422 	 0.65466 	 0.01453 	 0.65 
Dice_top_2_0.8% 	 0.83164 	 0.01252 	 0.92348 	 0.00526 	 0.66054 	 0.02401 	 0.5 
Dice_top_3_0.8% 	 0.84251 	 0.01313 	 0.92734 	 0.00513 	 0.68873 	 0.02198 	 0.45 
Tversky_top_1_0.8% 	 0.78412 	 0.01711 	 0.90291 	 0.00801 	 0.57933 	 0.02972 	 0.7 
Tversky_top_2_0.8% 	 0.80041 	 0.0169 	 0.90966 	 0.00766 	 0.6051 	 0.02874 	 0.55 
Tversky_top_3_0.8% 	 0.8006 	 0.01375 	 0.90919 	 0.00634 	 0.61163 	 0.02319 	 0.45 
